Location description: Anemona
ID: 22
Sensor: Noise
Datetime,dB
2015-07-29 20:45:10+01:00,69.2
2015-07-29 20:44:10+01:00,64.7
2015-07-29 20:43:10+01:00,71.0
2015-07-29 20:42:10+01:00,62.6
2015-07-29 20:41:10+01:00,63.2
2015-07-29 20:40:10+01:00,67.6
2015-07-29 20:39:10+01:00,63.0
2015-07-29 20:38:10+01:00,67.7
2015-07-29 20:37:10+01:00,65.3
2015-07-29 20:36:10+01:00,66.1
2015-07-29 20:35:10+01:00,72.5
2015-07-29 20:34:10+01:00,70.6
2015-07-29 20:33:10+01:00,64.6
2015-07-29 20:32:10+01:00,68.7
2015-07-29 20:31:10+01:00,64.8
2015-07-29 20:30:10+01:00,72.2
2015-07-29 20:29:10+01:00,63.4
2015-07-29 20:28:10+01:00,70.8
2015-07-29 20:27:10+01:00,68.0
2015-07-29 20:26:10+01:00,71.0
2015-07-29 20:25:10+01:00,67.5
2015-07-29 20:24:10+01:00,62.0
2015-07-29 20:23:10+01:00,69.7
2015-07-29 20:22:10+01:00,66.1
2015-07-29 20:21:10+01:00,63.7
2015-07-29 20:20:10+01:00,68.4
2015-07-29 20:19:10+01:00,66.7
2015-07-29 20:18:10+01:00,65.4
2015-07-29 20:17:10+01:00,70.2
2015-07-29 20:16:10+01:00,71.6
2015-07-29 20:15:10+01:00,65.9
2015-07-29 20:14:10+01:00,69.0
2015-07-29 20:13:10+01:00,72.6
2015-07-29 20:12:10+01:00,69.9
2015-07-29 20:11:10+01:00,65.5
2015-07-29 20:10:10+01:00,70.1
2015-07-29 20:09:10+01:00,72.0
2015-07-29 20:08:10+01:00,63.8
2015-07-29 20:07:10+01:00,72.2
2015-07-29 20:06:10+01:00,72.5
2015-07-29 20:05:10+01:00,67.0
2015-07-29 20:04:10+01:00,63.4
2015-07-29 20:03:10+01:00,70.6
2015-07-29 20:02:10+01:00,68.4
2015-07-29 20:01:10+01:00,67.0
2015-07-29 20:00:10+01:00,66.9
2015-07-29 19:59:10+01:00,66.9
2015-07-29 19:58:10+01:00,68.4
2015-07-29 19:57:10+01:00,62.1
2015-07-29 19:56:10+01:00,71.8
2015-07-29 19:55:10+01:00,71.5
2015-07-29 19:54:10+01:00,63.6
2015-07-29 19:53:10+01:00,66.0
2015-07-29 19:52:10+01:00,70.5
2015-07-29 19:51:10+01:00,69.2
2015-07-29 19:50:10+01:00,66.3
2015-07-29 19:49:10+01:00,69.8
2015-07-29 19:48:10+01:00,67.1
2015-07-29 19:47:10+01:00,67.6
2015-07-29 19:46:10+01:00,67.5
2015-07-29 19:45:10+01:00,73.2
2015-07-29 19:44:10+01:00,70.8
2015-07-29 19:43:10+01:00,69.8
2015-07-29 19:42:10+01:00,65.4
2015-07-29 19:41:10+01:00,64.4
2015-07-29 19:40:10+01:00,71.5
2015-07-29 19:39:10+01:00,71.9
2015-07-29 19:38:10+01:00,67.7
2015-07-29 19:37:10+01:00,73.4
2015-07-29 19:36:10+01:00,69.5
2015-07-29 19:35:10+01:00,62.1
2015-07-29 19:34:10+01:00,70.3
2015-07-29 19:33:10+01:00,72.4
2015-07-29 19:32:10+01:00,67.8
2015-07-29 19:31:10+01:00,69.8
2015-07-29 19:30:10+01:00,65.8
2015-07-29 19:29:10+01:00,67.0
2015-07-29 19:28:10+01:00,71.3
2015-07-29 19:27:10+01:00,68.5
2015-07-29 19:26:10+01:00,71.0
2015-07-29 19:25:10+01:00,69.3
2015-07-29 19:24:10+01:00,70.3
2015-07-29 19:23:10+01:00,66.8
